bin,n,mean_predicted,observed_rate,gap,horizon,model
3,3222,0.0024804371717463414,0.0006207324643078833,-0.001859704707438458,4,transformer
4,3221,0.004460245190802424,0.0012418503570319776,-0.003218394833770446,4,transformer
5,3222,0.00907591102768515,0.0015518311607697084,-0.007524079866915442,4,transformer
6,3221,0.019736633415442933,0.011487115802545793,-0.00824951761289714,4,transformer
7,3222,0.04132883299736411,0.01707014276846679,-0.02425869022889732,4,transformer
8,3221,0.08188269213674713,0.029183483390251473,-0.05269920874649566,4,transformer
9,3222,0.2820824130301258,0.04965859714463067,-0.23242381588549516,4,transformer
0,3222,0.0009556417351147876,0.00031036623215394165,-0.000645275502960846,4,C_lstm
1,3222,0.0019382823721914998,0.000931098696461825,-0.001007183675729675,4,C_lstm
2,3221,0.0033586767698889405,0.0009313877677739833,-0.002427289002114957,4,C_lstm
3,3222,0.005369470750162648,0.0006207324643078833,-0.004748738285854764,4,C_lstm
4,3221,0.009025430607209568,0.0012418503570319776,-0.0077835802501775905,4,C_lstm
5,3222,0.016367103385928068,0.0040347610180012415,-0.012332342367926828,4,C_lstm
6,3221,0.03293326540217752,0.005277864017385905,-0.02765540138479161,4,C_lstm
7,3222,0.06851390892007313,0.009931719428926133,-0.05858218949114699,4,C_lstm
8,3221,0.15754524536965167,0.023595156783607574,-0.1339500885860441,4,C_lstm
9,3222,0.477149741489424,0.06579764121663563,-0.4113521002727884,4,C_lstm
