horizon,model,level,budget,n,n_positive,base_rate,k,tp,precision,recall,lift
4,transformer,firm,k=50,3391,123,0.03627248599233265,50,12,0.24,0.0975609756097561,6.616585365853658
4,transformer,firm,k=100,3391,123,0.03627248599233265,100,16,0.16,0.13008130081300814,4.411056910569106
4,transformer,firm,k=200,3391,123,0.03627248599233265,200,26,0.13,0.21138211382113822,3.5839837398373984
4,transformer,firm,top 1%,3391,123,0.03627248599233265,34,10,0.29411764705882354,0.08130081300813008,8.10856049736968
4,transformer,firm,top 5%,3391,123,0.03627248599233265,170,22,0.12941176470588237,0.17886178861788618,3.567766618842659
4,C_lstm,window,k=50,32216,363,0.011267693071765582,50,15,0.3,0.04132231404958678,26.62479338842975
4,C_lstm,window,k=100,32216,363,0.011267693071765582,100,30,0.3,0.08264462809917356,26.62479338842975
4,C_lstm,window,k=200,32216,363,0.011267693071765582,200,40,0.2,0.11019283746556474,17.74986225895317
4,C_lstm,window,top 1%,32216,363,0.011267693071765582,322,54,0.16770186335403728,0.1487603305785124,14.883424875519738
4,C_lstm,window,top 5%,32216,363,0.011267693071765582,1611,156,0.09683426443202979,0.4297520661157025,8.593974278077884
4,C_lstm,firm,k=50,3391,123,0.03627248599233265,50,18,0.36,0.14634146341463414,9.924878048780487
4,C_lstm,firm,k=100,3391,123,0.03627248599233265,100,27,0.27,0.21951219512195122,7.4436585365853665
4,C_lstm,firm,k=200,3391,123,0.03627248599233265,200,39,0.195,0.3170731707317073,5.375975609756098
4,C_lstm,firm,top 1%,3391,123,0.03627248599233265,34,14,0.4117647058823529,0.11382113821138211,11.351984696317551
4,C_lstm,firm,top 5%,3391,123,0.03627248599233265,170,38,0.2235294117647059,0.3089430894308943,6.162505978000956
