model,label,family,horizon,val_roc_auc,val_pr_auc,n,n_pos,base_rate,roc_auc,pr_auc,brier,threshold,tn,fp,fn,tp,precision,recall,specificity,f1,balanced_accuracy,accuracy,alarm_rate,cost_1to1,cost_1to10,cost_1to20,cost_1to50,tuned_val_pr_auc,seconds,params
stacking,stacking,ml,1,0.9372768260161927,0.1739442865605745,32216,60,0.001862428606903402,0.8940332545507319,0.10475265055410739,0.08713733790607602,0.9999765721565899,32125,31,52,8,0.20512820512820512,0.13333333333333333,0.9990359497449932,0.1616161616161616,0.5661846415391633,0.997423640427117,0.0012105785944872113,0.0025763595728830395,0.017103302706729575,0.03324435063322573,0.08166749441271418,,132.18562540001585,"{""base_models"": [""logreg"", ""svm_rbf"", ""random_forest"", ""xgboost""], ""meta_coef"": [0.6028370434183573, 0.6578034953047976, 28.632276674592262, 0.9891062748812912], ""meta_intercept"": -1.5861298536267154}"
logreg,logreg,ml,2,0.8893586813326888,0.03213210434139609,32216,158,0.004904395331512292,0.8403481111371714,0.03832037296835825,0.12899016625924564,0.9679388403892517,31504,554,125,33,0.056218057921635436,0.2088607594936709,0.9827188221348805,0.08859060402684564,0.5957897908142757,0.9789235162652098,0.018220759870871617,0.021076483734790166,0.055997020114228954,0.09479761609138317,0.2111994040228458,0.03213210434139609,1.5612188000231981,"{""C"": 13.625781988834158}"
svm_rbf,svm_rbf,ml,2,0.8936912283889638,0.033017426786178576,32216,158,0.004904395331512292,0.8805057447300818,0.03702717764454586,0.20735885753582384,0.9483666265673624,31094,964,107,51,0.05024630541871921,0.3227848101265823,0.9699295027762181,0.08695652173913043,0.6463571564514002,0.9667556493667743,0.03150608393344922,0.03324435063322573,0.06313632977402533,0.09634963993046933,0.19598957039980133,0.033017426786178576,4.890295999997761,"{""n_components"": 512, ""gamma"": 0.0023468895651074058, ""alpha"": 0.00034205534934475404}"
random_forest,random_forest,ml,2,0.9035577737352725,0.1716160493718692,32216,158,0.004904395331512292,0.8827927387938477,0.09769927211250994,0.005067297452417614,0.23143712998805513,31930,128,137,21,0.14093959731543623,0.13291139240506328,0.9960072368831493,0.13680781758957655,0.5644593146441063,0.9917742736528433,0.004625031040476782,0.008225726347156693,0.0464986342190216,0.08902408740998262,0.21660044698286565,0.1716160493718692,10.395984899980249,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}"
xgboost,xgboost,ml,2,0.9033035162789185,0.29803436735317723,32216,158,0.004904395331512292,0.9028179541669331,0.11572571614848871,0.004934604317065083,0.16683948040008545,31962,96,131,27,0.21951219512195122,0.17088607594936708,0.997005427662362,0.19217081850533807,0.5839457518058645,0.9929538117705488,0.003817978644151974,0.007046188229451205,0.04364291035510305,0.08430593493916066,0.2062950086913335,0.29803436735317723,12.156118799990509,"{""n_estimators"": 600, ""max_depth"": 7, ""learning_rate"": 0.0760433261794055, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""min_child_weight"": 5.0}"
stacking,stacking,ml,2,0.923402737708686,0.23129600548010223,32216,158,0.004904395331512292,0.9001674970445183,0.11346351461890318,0.13901444356816653,0.9999200741791997,31972,86,140,18,0.17307692307692307,0.11392405063291139,0.997317362280866,0.13740458015267176,0.5556207064568887,0.9929848522473306,0.00322820958529923,0.007015147752669481,0.04612614849764093,0.08958281599205364,0.21995281847529177,,77.4640236000123,"{""base_models"": [""logreg"", ""svm_rbf"", ""random_forest"", ""xgboost""], ""meta_coef"": [-0.3248334122554329, 3.013371046383738, 30.798862973857215, 5.482478029896723], ""meta_intercept"": -2.302968433853777}"
logreg,logreg,ml,3,0.8699072483322717,0.030508870219386565,32216,260,0.008070523963248075,0.8282440639533205,0.0518265996510701,0.15003592875308747,0.9158650040626526,30866,1090,178,82,0.06996587030716724,0.3153846153846154,0.9658905995744148,0.11452513966480446,0.640637607479515,0.9606406754407748,0.036379438788179785,0.03935932455922523,0.08908616836354606,0.14433821703501365,0.31009436304941645,0.030508870219386565,1.2917646999994759,"{""C"": 9.92307276636211}"
svm_rbf,svm_rbf,ml,3,0.8776775837216318,0.03845047330446269,32216,260,0.008070523963248075,0.8706700077991854,0.06088577210076468,0.18199966526811956,0.9980631316644077,31552,404,207,53,0.11597374179431072,0.20384615384615384,0.9873576167229942,0.14783821478382148,0.595601885284574,0.981034268686367,0.014185497889247578,0.018965731313632977,0.07679413955798362,0.14104792649615097,0.33380928731065307,0.03845047330446269,5.235722000012174,"{""n_components"": 512, ""gamma"": 0.0023468895651074058, ""alpha"": 0.00034205534934475404}"
random_forest,random_forest,ml,3,0.9296861905400423,0.16578590315921765,32216,260,0.008070523963248075,0.8778095722965231,0.08927382521748539,0.00844003325364735,0.2795017176800022,31794,162,227,33,0.16923076923076924,0.12692307692307692,0.9949305294780323,0.14505494505494507,0.5609268032005545,0.9879252545319096,0.006052892972436057,0.01207474546809039,0.07549043953315122,0.14595232182766327,0.3573379687111994,0.16578590315921765,11.157833400007803,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}"
xgboost,xgboost,ml,3,0.9108603466192886,0.2902571874357027,32216,260,0.008070523963248075,0.8988960782614556,0.13552113540752309,0.008542136779786137,0.3406526446342468,31797,159,216,44,0.21674876847290642,0.16923076923076924,0.9950244085617724,0.1900647948164147,0.5821275888962708,0.9883598212068537,0.006301216786689844,0.011640178793146263,0.07198286565681648,0.13903029550533896,0.34017258505090636,0.2902571874357027,9.335557700018398,"{""n_estimators"": 600, ""max_depth"": 5, ""learning_rate"": 0.10899272116649625, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""min_child_weight"": 5.0}"
stacking,stacking,ml,3,0.9230954166806342,0.23050438048305183,32216,260,0.008070523963248075,0.895813594654188,0.11660684428856359,0.10432297477519659,0.9996851507094281,31807,149,224,36,0.1945945945945946,0.13846153846153847,0.9953373388409062,0.16179775280898878,0.5668994386512224,0.9884219021604171,0.005742488204618823,0.011578097839582815,0.07415569903153713,0.14368636702259746,0.3522783709957785,,70.33484989998396,"{""base_models"": [""logreg"", ""svm_rbf"", ""random_forest"", ""xgboost""], ""meta_coef"": [-0.2598387843101642, 2.4777797860461583, 24.815330363837447, 6.087908238398708], ""meta_intercept"": -2.5433803868945515}"
logreg,logreg,ml,4,0.8617246442043897,0.03142795341928215,32216,363,0.011267693071765582,0.8329630026501736,0.05951692935956542,0.16271242881384876,0.8924475312232971,30628,1225,264,99,0.07477341389728097,0.2727272727272727,0.9615420839481368,0.11736810906935388,0.6171346783377047,0.9537807300720139,0.04109759125900174,0.04621926992798609,0.11997144276136082,0.2019183014651105,0.44775887757635957,0.03142795341928215,1.194161899999017,"{""C"": 0.15778700589260478}"
svm_rbf,svm_rbf,ml,4,0.8499871399176955,0.03927909596530612,32216,363,0.011267693071765582,0.7939479041073582,0.04669595720283476,0.09152024512580371,0.9735205136802281,31222,631,307,56,0.08151382823871907,0.15426997245179064,0.9801902489561423,0.10666666666666667,0.5672301107039665,0.9708840327787435,0.021324807549043954,0.02911596722125652,0.11488080456915818,0.21017506828904892,0.4960578594487211,0.03927909596530612,8.631129300018074,"{""n_components"": 512, ""gamma"": 0.004283598448312287, ""alpha"": 9.156392629328054e-06}"
random_forest,random_forest,ml,4,0.9168006258573388,0.18372658920211152,32216,363,0.011267693071765582,0.8797785695808715,0.10282499605054257,0.011733463671696715,0.343078533290728,31705,148,329,34,0.18681318681318682,0.09366391184573003,0.9953536558565912,0.12477064220183486,0.5445087838511606,0.9851936925751179,0.005649366774273652,0.014806307424882046,0.10671715917556494,0.2088403277874348,0.5152098336230444,0.18372658920211152,11.862133299990091,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt""}"
xgboost,xgboost,ml,4,0.9060307534579333,0.32953105277800754,32216,363,0.011267693071765582,0.8925158002424879,0.1484890745329215,0.01144057148921653,0.4293643832206726,31740,113,326,37,0.24666666666666667,0.10192837465564739,0.996452453458073,0.1442495126705653,0.5491904140568602,0.9863732306928235,0.0046560715172585055,0.013626769307176559,0.10469952818475292,0.2058914824931711,0.5094673454184256,0.32953105277800754,12.857219299999997,"{""n_estimators"": 600, ""max_depth"": 7, ""learning_rate"": 0.0760433261794055, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""min_child_weight"": 5.0}"
stacking,stacking,ml,4,0.9167814250400091,0.2442587802496223,32216,363,0.011267693071765582,0.8864951158641208,0.12236259124374771,0.09319016784177116,0.9993694907827322,31647,206,309,54,0.2076923076923077,0.1487603305785124,0.99353279125985,0.17335473515248798,0.5711465609191811,0.9840141544574125,0.008070523963248075,0.015985845542587532,0.10230941147256022,0.19822448472808543,0.48596970449466104,,94.4297583999869,"{""base_models"": [""logreg"", ""svm_rbf"", ""random_forest"", ""xgboost""], ""meta_coef"": [0.5242362509907994, 0.9123005059100676, 23.64872729296769, 6.019085175144172], ""meta_intercept"": -2.304845973523325}"
